id,term,types
TT_465e8904,electronegativity,physical constant
TT_01c7707e,sigma,classifier
TT_b20cb478,b8 class,b class
TT_136ee6bc,ferroelectric,physical state
TT_e2be01a5,category2,saffir simpson scale
TT_d67b8385,watt per meter squared per steradian,unit
TT_3a87c4f0,inhibitor,chemical role
TT_23f84dcf,eutrophic,biological state
TT_db0ed17b,micronutrient,chemical role
TT_343e2868,signer,role
TT_8b290782,311.7mya,age
TT_17b968f2,conductor,chemical role
TT_044d65d3,non newtonian,fluid state
TT_f367c52e,tonian,period
TT_e61af733,enzyme,organic compound
TT_fca5f9f9,acidify,chemical role
TT_3390cdcb,paleogene,period
TT_ffe53db9,x2 class,x class
TT_152f3a8d,beryllium,alkaline earth metal
TT_03db7b11,oxidizer,chemical role
TT_ecb9fcc7,landward,horizontal direction
TT_93eb6d00,cfc,cfc
TT_13327caf,serializes,role
TT_3edea2ca,93.6mya,age
TT_0ccb2235,suspended,physical state
TT_7a45e8bb,silicate,inorganic compound
TT_432d65d3,contributor,role
TT_a0dc5361,binder,chemical role
TT_bee9eb1d,0.126mya,age
TT_e8d6b32f,uva,spectral band
TT_b5b09234,dendritic,shape
TT_0d8981ec,23.03mya,age
TT_7ce655e9,dim,qualifier
TT_c926cc33,polycrystalline,physical state
TT_ede7b3f1,fcaa,organic compound
TT_7ff90784,acceptable,trust
TT_8b5c0524,flake,shape
TT_53c5bd17,unconfident,trust
TT_d0d2658e,triassic,period
TT_30dfa770,x13 class,x class
TT_3a11961a,netcdf3,format
TT_6135b3e1,pitch,angular direction
TT_c266fa07,extraordinary,qualifier
TT_9de88d2d,ascii,format
TT_ea721ede,x37 class,x class
TT_f7bb9b77,biomarker,organic compound
TT_03ced6f3,uphill,vertical direction
TT_76cbacc3,underwater,qualifier
TT_ad1bbe57,c10h16,hydrocarbon
TT_5c033064,hdfeos2,format
TT_1091e607,he1083,spectral line
TT_bcb95918,rough,consistence property
TT_babaeba5,x8 class,x class
TT_d1fb6213,hco3minus,ion
TT_9c8ac160,negative,qualifier
TT_0c6f7ee7,potable,qualifier
TT_22e1ddd0,remote,spatial configuration
TT_7e6b4b4a,thanetian,age
TT_8c4a8268,hauterivian,age
TT_4722ce3e,earth ionosphere,atmosphere
TT_d5e03d4a,x25 class,x class
TT_9e372b05,rust,inorganic compound
TT_e179b811,even,qualifier
TT_5b035ac1,solar constant,physical constant
TT_8b4cdf58,west,horizontal direction
TT_99e68702,ordovician,period
TT_ab07d5e8,hour,unit
TT_f21c7a7b,geologic,qualifier
TT_583c6331,he4,isotope
TT_b5a3b61a,meter cubed per kilogram,unit
TT_7f00cf84,von karman constant,physical constant
TT_2c72a2bd,precise,trust
TT_551094cc,cfc114,cfc
TT_b8e624c9,semi precious,qualifier
TT_ec64041e,light,qualifier
TT_a2c7b4bc,ediacaran,period
TT_391a36c6,lagrangian,reference frame
TT_49de527d,pan,qualifier
TT_b4ab2f6c,lutetian,age
TT_f255806a,moscovian,age
TT_947c1323,gulf stream,earth ocean current
TT_4b97f1ec,clockwise,angular direction
TT_228c9a24,autumn,season
