id,term,types
TT_465e8904,electronegativity,electromagnetic quantity
TT_01c7707e,sigma,dimensionless ratio
TT_b20cb478,b8 class,b class
TT_136ee6bc,ferroelectric,physical state
TT_e2be01a5,category2,saffir simpson scale
TT_d67b8385,watt per meter squared per steradian,energy flux wm2
TT_3a87c4f0,inhibitor,chemical role
TT_23f84dcf,eutrophic,biological state
TT_db0ed17b,micronutrient,biological role
TT_343e2868,signer,representative role
TT_8b290782,311.7mya,epoch
TT_17b968f2,conductor,conduction role
TT_044d65d3,non newtonian,physical state
TT_f367c52e,tonian,era
TT_e61af733,enzyme,chemical role
TT_fca5f9f9,acidify,chemical state
TT_3390cdcb,paleogene,era
TT_ffe53db9,x2 class,x class
TT_152f3a8d,beryllium,alkaline earth metal
TT_03db7b11,oxidizer,chemical role
TT_ecb9fcc7,landward,horizontal direction
TT_93eb6d00,cfc,cfc
TT_13327caf,serializes,format
TT_3edea2ca,93.6mya,epoch
TT_0ccb2235,suspended,physical state
TT_7a45e8bb,silicate,inorganic compound
TT_432d65d3,contributor,representative role
TT_a0dc5361,binder,chemical role
TT_bee9eb1d,0.126mya,epoch
TT_e8d6b32f,uva,spectral band
TT_b5b09234,dendritic,shape
TT_0d8981ec,23.03mya,epoch
TT_7ce655e9,dim,trust
TT_c926cc33,polycrystalline,physical state
TT_ede7b3f1,fcaa,environmental standards body
TT_7ff90784,acceptable,environmental standard
TT_8b5c0524,flake,substance form
TT_53c5bd17,unconfident,trust
TT_d0d2658e,triassic,era
TT_30dfa770,x13 class,x class
TT_3a11961a,netcdf3,self describing format
TT_6135b3e1,pitch,angular direction
TT_c266fa07,extraordinary,trust
TT_9de88d2d,ascii,format
TT_ea721ede,x37 class,x class
TT_f7bb9b77,biomarker,biological role
TT_03ced6f3,uphill,vertical direction
TT_76cbacc3,underwater,moisture state
TT_ad1bbe57,c10h16,hydrocarbon
TT_5c033064,hdfeos2,self describing format
TT_1091e607,he1083,spectral line
TT_bcb95918,rough,consistence property
TT_babaeba5,x8 class,x class
TT_d1fb6213,hco3minus,ion
TT_9c8ac160,negative,binary state
TT_0c6f7ee7,potable,chemical state
TT_22e1ddd0,remote,spatial configuration
TT_7e6b4b4a,thanetian,epoch
TT_8c4a8268,hauterivian,epoch
TT_4722ce3e,earth ionosphere,ion
TT_d5e03d4a,x25 class,x class
TT_9e372b05,rust,chemical state
TT_e179b811,even,binary state
TT_5b035ac1,solar constant,physical constant
TT_8b4cdf58,west,horizontal direction
TT_99e68702,ordovician,era
TT_ab07d5e8,hour,base unit
TT_f21c7a7b,geologic,geosphere
TT_583c6331,he4,isotope
TT_b5a3b61a,meter cubed per kilogram,unit derived by raising to power
TT_7f00cf84,von karman constant,physical constant
TT_2c72a2bd,precise,trust
TT_551094cc,cfc114,cfc
TT_b8e624c9,semi precious,substance form
TT_ec64041e,light,radiation medium interaction quantity
TT_a2c7b4bc,ediacaran,era
TT_391a36c6,lagrangian,spatial reference system
TT_49de527d,pan,substance form
TT_b4ab2f6c,lutetian,epoch
TT_f255806a,moscovian,epoch
TT_947c1323,gulf stream,earth western boundary current
TT_4b97f1ec,clockwise,angular direction
TT_228c9a24,autumn,season
TT_a4d6b9e2,ef0,enhanced fujita scale
TT_eda17fd6,priabonian,epoch
TT_2cc3ee4e,hydroperoxyl,peroxide
TT_759d97c4,stratified,fluid equilibrium state
TT_8f2fc778,aphelion,orbital configuration
TT_d1e324ef,ch4,hydrocarbon
TT_8eba593b,cl2o2,inorganic compound
TT_49557da8,millimeter,unit
TT_66903bd5,indurated,substance form
TT_b003bc45,per pascal,unit derived by shifting
TT_0bfde7be,unpredictable,trust
TT_81173ce7,cambrian stage3,epoch
TT_fac9ffac,unscheduled,trust
TT_1c3cb20d,disturbed,wave state
TT_a2f64713,netcdf4,self describing format
TT_84664adb,amorphous,substance form
TT_bda5805a,dominant,representative role
TT_9a890078,neogene,era
TT_a4fc1bf8,anthropogenic,impact
TT_e03d6775,suboptimal,trust
TT_238f77a8,tiny,size
TT_6de53a88,cadmium,transition metal
TT_3e9eaf0e,category4,saffir simpson scale
TT_c99b05db,benguela current,earth eastern boundary current
TT_6924dd35,spectral,spectral band
TT_b463247f,permian,era
TT_11ac2bd4,acenaphthylene,hydrocarbon
TT_26b1777c,dwb,dry winter climate
TT_c7f6cba8,443.7mya,epoch
TT_13acc069,c band,frequency band mhz
TT_71b92c17,2300mya,epoch
TT_498b53c9,thermal plasma,thermodynamic state
TT_efe70492,basin groups,era
TT_485cb62f,ppm,dimensionless ratio
TT_0bf5fc0b,x28 class,x class
TT_1c3ef1e4,submitter,representative role
TT_a7863b9a,regular,trust
TT_7ea00ec3,bzip2,compression method
TT_30fdd67b,clono2,inorganic compound
TT_b7fbffd3,earth mesopelagic zone,bathypelagic zone
TT_c03ee39c,1.806mya,epoch
TT_e147d398,bwk,dry winter climate
TT_4e3c03ca,dynamic,system state
TT_cfa5f1e6,azimuthal equidistant,spatial reference system
TT_93b3fbeb,spawning ground,habitat
TT_48d53d50,halon1301,halon
TT_6e26f239,tenuous,consistence property
TT_ac3340ac,reynolds number,dimensionless ratio
TT_c0b1f0dc,upflow,vertical direction
TT_876e178a,joule,unit
TT_29a10f10,analyzed,retrieval approach
TT_a7579eb1,unacceptable,environmental standard
TT_5216aacc,diluted,chemical state
TT_7092fa8b,dry ice,solid state
TT_fd1d6b94,inert,chemical state
TT_13835c44,hazard,impact
TT_82c035d5,x16 class,x class
TT_99aa35a9,instance,Instant
TT_cc8239f8,kelvin,unit
TT_c3122e54,hbeta,spectral line
TT_2d6bbd7d,ef5,enhanced fujita scale
TT_81671ca6,sidereal,time frame
TT_8ca71121,hydraulic gradient,hydrogeological property
TT_449c56bb,connected,connectivity
TT_e57fb4fb,non thermal plasma,thermodynamic state
TT_689a2c23,montreal protocol,environmental law
TT_590b4d40,plastic,substance form
TT_2bbcc3cb,cak,format
TT_42af1091,contaminant,contaminant
TT_6b955ce9,trapped,wave state
TT_a59ba01f,pliensbachian,epoch
TT_9af56f67,253.8mya,epoch
TT_c2252590,ch3cooh,organic compound
TT_0a916ef2,hydrobromous acid,inorganic acid
TT_14debe7d,millenium,era
TT_1a5d1ce3,vertical,vertical direction
TT_9a8c04ca,c2h6o,organic compound
TT_54c60e59,nearby,spatial configuration
TT_f4a40e4d,indicator,indicator
TT_ea105023,maximum entropy,thermodynamic state
TT_7e60eaf9,4600mya,epoch
TT_65d03cef,explicit,retrieval approach
TT_a6f221ec,rhaetian,epoch
TT_1dbfa101,selandian,epoch
TT_2a177d49,subaqueous,moisture state
TT_1d20f8f3,299.0mya,epoch
TT_0b973939,251.0mya,epoch
TT_93235603,hydrogen cyanide,inorganic compound
TT_0ea60382,enrich,chemical role
TT_80eb0b14,imbricated,spatial configuration
TT_8a35dea3,bartonian,epoch
TT_ba921809,environmental protection agency,federal governing body
TT_ab4a1d2a,xls,format
TT_28165e62,halosteric,thermodynamic state
TT_d427d188,forage,producer
TT_61e6d5a1,bashkirian,epoch
TT_90a49eb6,disaster,impact
TT_2e260457,th230,isotope
TT_f3ca47f9,iron oxide,inorganic compound
TT_5c920fb8,pentad,time frame
TT_422ba0cb,dichlorodifluoromethane,cfc
TT_444cb580,acute,biological state
TT_386ec924,rhuddanian,epoch
TT_2282ee39,peer reviewed,trust
TT_4f1c6fe7,drumian,epoch
TT_a04cec09,meter cubed,unit derived by raising to power
TT_b8e6880d,terreneuvian,era
TT_650c1dd0,precambrian,eon
TT_1d45bcb9,freon12,cfc
TT_83ca6886,no3minus,ion
TT_26692b9f,lower jurassic,era
TT_38b88834,b7 class,b class
TT_e432bce3,piacenzian,epoch
TT_6fdd769f,infrared,spectral band
TT_e31c1951,untrusted,trust
TT_3ad9cee4,earth troposphere,atmosphere
TT_6704bb92,beaufort10,beaufort scale
TT_0e80f3c9,albers conical equal area,spatial reference system
TT_63262db4,copper,transition metal
TT_839d6369,per tesla,unit derived by shifting
TT_0f09cf8c,pcb,contaminant
TT_d9536b24,brno3,inorganic compound
TT_419a37a9,prior,provenance role
TT_879093fb,b3 class,b class
TT_c6262816,equator,latitude line
TT_38841047,unpressurized,physical state
TT_4a2916b8,hybrid sigma,vertical coordinate
TT_32986cf2,tropical,season
TT_094dc640,nfma,environmental law
TT_35d587e7,lower,vertical direction
TT_0de64f49,radioactivity,radioactive substance
TT_a06614de,cryptic,trust
TT_536e1c01,flat,spatial configuration
TT_ae9a7394,winter,season
TT_db9a42b9,lux,unit
TT_b42a538a,short,duration
TT_8a7f0d7c,radian per second,unit derived by raising to power
TT_e9bfa8d0,metre,unit
TT_caf65747,semi,binary state
TT_35ba8e5b,2800mya,epoch
TT_4b6372a6,245.9mya,epoch
TT_551a76a9,minor,role
TT_433a6162,x4 class,x class
TT_a57744b1,hno3,inorganic acid
TT_51efe021,x21 class,x class
TT_a5a76e1f,total,trust
TT_2ad655c1,equatorial,latitude band
TT_f9b19c79,darriwilian,epoch
TT_b4309245,422.9mya,epoch
TT_7b667ecd,endogenous,biochemical state
TT_796a74a4,sun synchronous,orbital configuration
TT_68e541dd,pt3million_km2,area
TT_668c3d0d,saturate,chemical state
